תעודת זהות,תאריך ביקור,קוד הבחנה,עומק קוד הבחנה,תיאור הבחנה,קוד מרפאה,סוג קוד
268108699.0,1976-10-18 00:25:09,V57.4,4,Orthoptic training,6321,icd9
253656343.0,1999-06-02 05:46:59,995.0,4,Other anaphylactic shock,2344,icd9
334676759.0,1981-09-01 16:22:53,404,3,Hypertensive heart and chronic kidney disease,6755,icd9
360478473.0,1975-07-04 05:54:31,V45.82,5,Percutaneous transluminal coronary angioplasty status,7485,icd9
306064129.0,1981-06-30 21:20:00,098.50,5,Gonococcal arthritis,1286,icd9
251107769.0,1984-01-28 01:00:58,098.5,4,Gonococcal infection of joint,9623,icd9
280938090.0,1979-08-07 02:29:00,376.03,5,Orbital osteomyelitis,5893,icd9
318882701.0,2014-12-10 03:09:45,794.17,5,Abnormal electromyogram [EMG],2515,icd9
241512671.0,1981-07-31 14:39:18,053.29,5,Other,9186,icd9
269119848.0,2018-11-05 11:04:03,154.3,4,"Anus, unspecified",9186,icd9
310902669.0,1983-07-12 04:59:18,737.40,5,"Curvature of spine, unspecified",8724,icd9
214970016.0,1973-10-07 17:43:37,441.03,5,Thoracoabdominal,6321,icd9
328739028.0,1978-04-14 22:09:56,961.8,4,Other antimycobacterial drugs,7485,icd9
267278086.0,2001-06-16 18:14:27,704,3,Diseases of hair and hair follicles,5714,icd9
236210454.0,2002-02-18 15:51:20,873.74,5,Tongue and floor of mouth,6238,icd9
205933045.0,1985-08-23 10:45:09,714.32,5,Pauciarticular juvenile rheumatoid arthritis,3894,icd9
233991643.0,1980-10-21 05:42:20,840,3,Sprains and strains of shoulder and upper arm,3075,icd9
,1987-07-20 07:47:36,159,3,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum,2515,icd9
291403817.0,1979-06-29 16:45:18,879.0,4,"Breast, without mention of complication",4934,icd9
,1997-09-05 22:52:22,E850.6,4,Antirheumatics [antiphlogistics],2962,icd9
,2017-09-04 02:16:42,731.8,4,Other bone involvement in diseases classified elsewhere,9657,icd9
295262415.0,1996-07-06 10:13:33,V65.1,4,Person consulting on behalf of another person,3543,icd9
317858634.0,2014-05-20 19:44:06,368,3,Visual disturbances,3146,icd9
385302431.0,1984-08-05 20:01:19,E933.9,4,Unspecified systemic agent,9186,icd9
,1975-02-03 05:53:02,444.89,5,Other,7485,icd9
,2012-10-07 02:19:28,E865.2,4,Other fish,4303,icd9
384025671.0,2013-09-09 06:24:56,330.0,4,Leukodystrophy,7882,icd9
341118923.0,2020-11-04 22:46:17,363.33,5,Other scars of posterior pole,5253,icd9
230217302.0,2003-03-30 08:20:46,802.23,5,Coronoid process,1323,icd9
377818200.0,1978-08-03 09:02:40,260,3,Kwashiorkor,2515,icd9
368780693.0,1993-06-27 10:28:14,339.3,4,"Drug induced headache, not elsewhere classified",7485,icd9
361248986.0,2020-01-11 23:57:49,995.83,5,Adult sexual abuse,3611,icd9
210002316.0,1988-06-29 23:25:46,305.5,4,Opioid abuse,3643,icd9
268530841.0,1971-03-24 20:28:50,143.8,4,Other sites of gum,7107,icd9
337854847.0,2006-01-26 04:24:15,389.7,4,"Deaf nonspeaking, not elsewhere classifiable",7116,icd9
307563205.0,2009-01-03 11:41:34,711.0,4,Pyogenic arthritis,3543,icd9
369961354.0,1999-04-08 12:48:52,V89.05,5,Suspected cervical shortening not found,6238,icd9
288443853.0,1990-05-17 15:18:02,738,3,Other acquired deformity,9657,icd9
322222433.0,2008-04-16 16:19:01,V10.61,5,Lymphoid leukemia,2962,icd9
374275922.0,1976-01-03 23:18:00,636.1,4,Complicated by delayed or excessive hemorrhage,5714,icd9
325918527.0,2015-01-01 20:17:42,369.2,4,"Moderate or severe impairment, both eyes",3075,icd9
356221120.0,1998-08-31 10:25:08,E997.0,4,Lasers,3894,icd9
200817225.0,1977-01-16 22:47:39,601.0,4,Acute prostatitis,3600,icd9
277444028.0,1979-02-22 03:35:37,057.8,4,Other specified viral exanthemata,7087,icd9
308070880.0,1974-04-15 09:04:23,E929.4,4,Late effects of accident caused by fire,1286,icd9
385086865.0,1982-02-07 00:27:25,372.9,4,Unspecified disorder of conjunctiva,7107,icd9
312013773.0,1999-06-17 18:56:33,V69.4,4,Lack of adequate sleep,9623,icd9
382557690.0,1999-06-18 14:33:21,014.0,4,Tuberculous peritonitis,3600,icd9
277917059.0,1998-06-06 02:59:02,E997.1,4,Biological warfare,1211,icd9
208645121.0,2001-11-06 23:41:06,645.1,4,Post term pregnancy,2912,icd9
214033112.0,1987-07-04 06:30:24,209.21,5,Malignant carcinoid tumor of the bronchus and lung,3146,icd9
,1983-11-06 15:16:12,681.0,4,Finger,1286,icd9
279349062.0,2020-05-31 04:33:34,766.1,4,"Other ""heavy-for-dates"" infants",7364,icd9
371628138.0,2003-08-22 22:46:08,140.1,4,"Lower lip, vermilion border",4303,icd9
,1972-05-31 09:16:48,622.5,4,Incompetence of cervix,3611,icd9
,2016-09-02 20:54:49,144.8,4,Other sites of floor of mouth,1500,icd9
381462785.0,2014-03-06 13:40:33,326,3,Late effects of intracranial abscess or pyogenic infection,5893,icd9
,1988-07-21 05:12:58,V87.4,4,Personal history of drug therapy,5893,icd9
207455943.0,2001-11-03 12:31:26,765.28,5,35-36 weeks of gestation,1404,icd9
371459723.0,1983-02-16 00:12:17,974,3,"Poisoning by water, mineral, and uric acid metabolism drugs",2972,icd9
317814560.0,2004-10-08 09:02:59,E935.2,4,Other opiates and related narcotics,9657,icd9
,1992-01-31 07:56:54,733.93,5,Stress fracture of tibia or fibula,2972,icd9
355457928.0,1973-05-27 17:46:42,813.4,4,"Lower end, closed",2047,icd9
256397571.0,1980-09-27 01:30:11,005.4,4,Food poisoning due to Vibrio parahaemolyticus,4934,icd9
311022239.0,1995-08-29 22:33:42,253.7,4,Iatrogenic pituitary disorders,3075,icd9
,2017-06-11 18:00:35,738.11,5,Zygomatic hyperplasia,2047,icd9
,2008-03-03 06:10:53,V88.01,5,Acquired absence of both cervix and uterus,3075,icd9
,1993-02-03 04:04:58,608.23,5,Torsion of appendix testis,1211,icd9
219595397.0,2001-04-25 14:05:23,628,3,"Infertility, female",3146,icd9
379222904.0,1971-01-20 12:19:23,151.1,4,Pylorus,3543,icd9
221863892.0,1978-07-23 06:51:19,018,3,Miliary tuberculosis,7882,icd9
,2020-11-09 03:17:57,870.1,4,"Laceration of eyelid, full-thickness, not involving lacrimal passages",7116,icd9
216443329.0,2009-05-14 16:16:21,668,3,Complications of the administration of anesthetic or other sedation in labor and delivery,2344,icd9
,1988-08-23 00:39:31,376.89,5,Other,9566,icd9
216597164.0,1981-08-27 13:48:01,839.52,5,Sacrum,8004,icd9
,1990-11-21 12:05:03,339.2,4,Post-traumatic headache,7364,icd9
,1980-12-15 01:44:35,524.11,5,Maxillary asymmetry,6755,icd9
327713601.0,2002-09-17 18:26:18,274.8,4,Gout with other specified manifestations,4303,icd9
375085697.0,2009-01-10 05:32:33,032.85,5,Cutaneous diphtheria,2344,icd9
375504159.0,1978-04-24 18:24:09,780.01,5,Coma,5893,icd9
,2000-12-30 03:38:56,E943.8,4,Other specified agents primarily affecting the gastrointestinal system,6321,icd9
,1982-06-30 15:46:46,957.9,4,Unspecified site,5893,icd9
388729903.0,1979-08-15 19:19:20,376.21,5,Thyrotoxic exophthalmos,8625,icd9
279251759.0,2004-04-27 19:50:38,927.21,5,Wrist,1282,icd9
313758475.0,1988-07-04 14:46:45,922.1,4,Chest wall,1404,icd9
260774812.0,1996-09-01 09:09:05,429.2,4,"Cardiovascular disease, unspecified",9623,icd9
235798136.0,1978-04-10 08:28:26,780.02,5,Transient alteration of awareness,1286,icd9
305908116.0,2011-04-02 17:11:12,102.1,4,Multiple papillomata and wet crab yaws,9186,icd9
,1983-07-09 09:52:56,380.81,5,Exostosis of external ear canal,5196,icd9
298062938.0,2010-08-01 10:51:06,680.2,4,Trunk,2972,icd9
308250555.0,1981-11-30 13:21:18,V68,3,Encounters for administrative purposes,1323,icd9
273059743.0,1989-11-25 00:48:50,V48,3,"Problems with head, neck, and trunk",9566,icd9
385970244.0,2014-09-01 01:29:07,360.6,4,"Retained (old) intraocular foreign body, nonmagnetic",3075,icd9
227548668.0,1981-08-10 13:55:29,250.1,4,Diabetes with ketoacidosis,7116,icd9
202659993.0,2008-03-27 17:37:27,654.9,4,Other and unspecified,5893,icd9
,2004-10-15 16:22:37,440-449,2,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES ",7573,icd9
330926891.0,2015-07-19 23:39:37,V15.0,4,"Allergy, other than to medicinal agents",1404,icd9
343852120.0,1996-06-13 17:49:18,524.8,4,Other specified dentofacial anomalies,3146,icd9
209711097.0,1993-04-04 16:26:37,379.25,5,Vitreous membranes and strands,3962,icd9
269785115.0,2000-05-29 07:16:18,447.6,4,"Arteritis, unspecified",6755,icd9
300862744.0,1988-12-28 14:54:32,V75.0,4,Rickettsial diseases,1404,icd9
291676503.0,2012-12-05 02:47:15,923.00,5,Shoulder region,9186,icd9
254094408.0,1991-06-07 00:22:23,004.9,4,"Shigellosis, unspecified",3894,icd9
,2006-03-08 03:13:50,V64.07,5,Vaccination not carried out for religious reasons,9657,icd9
275619591.0,2017-04-11 19:08:55,333.81,5,Blepharospasm,6238,icd9
,1988-02-01 02:00:52,708.8,4,Other specified urticaria,9657,icd9
213545241.0,2006-11-21 06:03:15,618.6,4,"Vaginal enterocele, congenital or acquired",4224,icd9
,1993-12-26 06:53:01,E945.4,4,Antitussives,3611,icd9
220904788.0,1998-01-23 14:19:56,806.11,5,C1-C4 level with complete lesion of cord,2344,icd9
224869600.0,1990-10-20 02:36:15,368.32,5,Simultaneous visual perception without fusion,4934,icd9
229570519.0,1996-05-28 17:27:57,327,3,Organic sleep disorders,2962,icd9
311259789.0,1976-04-02 21:56:59,209.40,5,"Benign carcinoid tumor of the small intestine, unspecified portion",3600,icd9
301227807.0,1986-09-04 17:48:03,379.60,5,"Inflammation (infection) of postprocedural bleb, unspecified",3643,icd9
334385585.0,1988-12-11 22:54:55,525.12,5,Loss of teeth due to periodontal disease,7573,icd9
272574173.0,1999-03-15 12:34:55,307.53,5,Rumination disorder,2912,icd9
362132384.0,1978-04-21 03:29:26,389.03,5,"Conductive hearing loss, middle ear",5196,icd9
270919158.0,2008-11-21 22:17:04,371.62,5,"Keratoconus, acute hydrops",1404,icd9
374346475.0,2006-09-28 21:23:07,474.8,4,Other chronic disease of tonsils and adenoids,3962,icd9
213784737.0,1996-06-11 13:53:18,E873.5,4,Inappropriate [too hot or too cold] temperature in local application and packing,8724,icd9
279601220.0,1990-06-14 16:14:10,644.0,4,Threatened premature labor,8724,icd9
385194757.0,1999-08-29 15:03:44,374.9,4,Unspecified disorder of eyelid,6321,icd9
,1986-02-04 06:06:16,026.0,4,Spirillary fever,5893,icd9
354808582.0,2003-01-27 05:24:07,435.0,4,Basilar artery syndrome,8724,icd9
316490197.0,1993-02-05 23:43:39,E939.3,4,"Other antipsychotics, neuroleptics, and major tranquilizers",1211,icd9
,1975-12-12 03:11:01,358.01,5,Myasthenia gravis with (acute) exacerbation,1211,icd9
318241885.0,1994-08-05 16:57:58,726.65,5,Prepatellar bursitis,4303,icd9
361509225.0,1986-11-03 18:46:54,391.2,4,Acute rheumatic myocarditis,2912,icd9
,2015-11-11 11:53:52,575.0,4,Acute cholecystitis,2972,icd9
368000032.0,1992-01-11 14:45:29,375.2,4,Epiphora,7573,icd9
249538613.0,2019-08-19 02:26:48,E950.5,4,Unspecified drug or medicinal substance,4303,icd9
,1985-11-18 20:19:35,213.2,4,"Vertebral column, excluding sacrum and coccyx",2533,icd9
382140868.0,1986-06-15 16:04:28,841,3,Sprains and strains of elbow and forearm,7882,icd9
279316507.0,2012-03-19 20:37:59,680.7,4,Foot,5714,icd9
277118034.0,1992-07-02 22:20:23,389.11,5,"Sensory hearing loss, bilateral",1500,icd9
,2019-07-20 08:22:05,E943.9,4,Unspecified agent primarily affecting the gastrointestinal system,9186,icd9
382665690.0,2020-05-23 13:25:00,841.3,4,Ulnohumeral (joint),1282,icd9
226428916.0,1983-12-08 03:07:58,370.31,5,Phlyctenular keratoconjunctivitis,5253,icd9
367060078.0,2008-05-14 02:17:40,965.0,4,Opiates and related narcotics,8625,icd9
287364588.0,1997-04-07 04:28:24,569.2,4,Stenosis of rectum and anus,4224,icd9
343116716.0,2017-10-27 12:21:31,333.94,5,Restless legs syndrome (RLS),8724,icd9
204627368.0,1994-02-22 23:58:45,388.4,4,Other abnormal auditory perception,1822,icd9
342351229.0,1986-01-06 09:55:35,411.89,5,Other,6755,icd9
317916958.0,1973-10-31 09:45:49,728.85,5,Spasm of muscle,3647,icd9
226237339.0,2003-10-21 03:21:24,368.62,5,Acquired night blindness,8004,icd9
,1977-08-24 05:16:35,054.72,5,Herpes simplex meningitis,1286,icd9
291621877.0,1979-07-20 22:56:21,788.91,5,Functional urinary incontinence,7485,icd9
,2002-01-12 12:24:47,872.79,5,Other and multiple sites,1211,icd9
230395084.0,2006-03-03 14:44:11,738.9,4,Acquired deformity of unspecified site,3611,icd9
312125182.0,1991-09-26 11:22:03,642.1,4,"Hypertension secondary to renal disease, complicating pregnancy, childbirth, and the puerperium",2047,icd9
272381967.0,1979-03-31 20:02:08,132.9,4,"Pediculosis, unspecified",5893,icd9
358737328.0,1993-04-20 00:27:33,366.09,5,Other and combined forms of nonsenile cataract,6755,icd9
329407076.0,1973-06-14 17:19:53,861.0,4,"Heart, without mention of open wound into thorax",5253,icd9
332265990.0,2002-11-24 05:59:04,367.20,5,"Astigmatism, unspecified",3600,icd9
385506508.0,2017-02-08 11:44:33,885.0,4,Without mention of complication,7573,icd9
212065895.0,2010-08-13 19:20:36,928.01,5,Hip,2912,icd9
326125226.0,1996-03-15 07:41:13,371.31,5,Folds and rupture of Bowman's membrane,9566,icd9
232405013.0,1997-09-14 21:33:59,472.2,4,Chronic nasopharyngitis,7087,icd9
364516700.0,2004-07-07 18:23:38,952.17,5,T7-T12 level with anterior cord syndrome,1404,icd9
,2011-11-26 03:00:51,970.0,4,Analeptics,3543,icd9
,1993-07-24 20:08:15,V48.2,4,Mechanical and motor problems with head,4224,icd9
266146768.0,1998-01-26 11:10:35,371.60,5,"Keratoconus, unspecified",3647,icd9
330972543.0,1989-05-20 23:15:47,784.0,4,Headache,6238,icd9
,1987-06-04 10:06:34,377.23,5,Coloboma of optic disc,7087,icd9
,1982-07-05 09:12:51,805.4,4,"Lumbar, closed",3146,icd9
,1973-03-30 16:55:52,518.2,4,Compensatory emphysema,7107,icd9
309834173.0,1987-12-27 17:10:38,794.12,5,Abnormal electro-oculogram [EOG],7485,icd9
257720625.0,1983-06-16 08:39:05,V14.2,4,Sulfonamides,6321,icd9
,2005-08-02 00:27:25,V17,3,Family history of certain chronic disabling diseases,7485,icd9
242691541.0,1984-09-23 11:48:45,569.83,5,Perforation of intestine,1286,icd9
,1980-08-11 08:48:27,516.2,4,Pulmonary alveolar microlithiasis,4224,icd9
355383792.0,2011-04-13 14:28:28,184.3,4,Clitoris,7107,icd9
379470553.0,1985-05-12 18:37:57,788.29,5,Other specified retention of urine,7087,icd9
,2003-02-24 19:50:59,897,3,Traumatic amputation of leg(s) (complete) (partial),7573,icd9
323616337.0,2006-08-12 01:53:43,197.2,4,Pleura,1282,icd9
261356970.0,2013-12-12 11:38:19,922.3,4,Back,2515,icd9
,1996-06-19 05:53:42,V45.71,5,Acquired absence of breast and nipple,2515,icd9
379146815.0,2006-08-26 03:12:47,245.4,4,Iatrogenic thyroiditis,6755,icd9
300310789.0,2014-09-27 06:47:55,726.61,5,Pes anserinus tendinitis or bursitis,7882,icd9
274651943.0,2019-12-31 23:11:29,054.10,5,"Genital herpes, unspecified",3962,icd9
305235956.0,1984-09-03 19:41:57,E853.2,4,Benzodiazepine-based tranquilizers,7573,icd9
,1998-05-16 03:55:42,767.2,4,Fracture of clavicle,4303,icd9
262256417.0,1999-11-18 19:13:47,372.56,5,Conjunctival deposits,7087,icd9
281052739.0,1971-06-18 17:08:51,127.9,4,"Intestinal helminthiasis, unspecified",9566,icd9
255446978.0,2006-09-10 17:03:37,569.43,5,Anal sphincter tear (healed) (old),3146,icd9
283062931.0,2007-09-29 12:04:54,365.83,5,Aqueous misdirection,8004,icd9
,2016-10-06 14:52:43,427.3,4,Atrial fibrillation and flutter,7107,icd9
,1976-05-12 19:03:07,772.3,4,Umbilical hemorrhage after birth,1404,icd9
274796798.0,1991-05-07 17:26:38,V76.4,4,Other sites,2344,icd9
,2015-02-01 19:52:30,722.90,5,Unspecified region,3146,icd9
296012463.0,2002-12-13 04:13:59,233.5,4,Penis,3647,icd9
202979006.0,1992-09-02 09:18:33,374.3,4,Ptosis of eyelid,4224,icd9
282481577.0,2019-08-21 13:10:27,808.41,5,Ilium,4224,icd9
231340282.0,2009-10-20 09:32:16,001-139,1,INFECTIOUS AND PARASITIC DISEASES ,1211,icd9
255338769.0,2016-10-19 11:54:09,952.13,5,T1-T6 level with central cord syndrome,7882,icd9
326527400.0,2019-11-23 08:59:42,707,3,Chronic ulcer of skin,5196,icd9
327089004.0,1972-02-17 11:08:51,371.48,5,Peripheral degenerations of cornea,1282,icd9
303876712.0,1999-10-27 07:15:34,634.9,4,Without mention of complication,9566,icd9
,2020-07-06 00:04:17,291.3,4,Alcohol-induced psychotic disorder with hallucinations,3611,icd9
271598901.0,2004-03-27 20:28:27,049.8,4,Other specified non-arthropod-borne viral diseases of central nervous system,6238,icd9
,1989-12-30 19:30:22,788.29,5,Other specified retention of urine,9566,icd9
,1999-07-19 13:14:23,862,3,Injury to other and unspecified intrathoracic organs,5893,icd9
323888190.0,1974-05-13 13:46:33,705.8,4,Other specified disorders of sweat glands,5893,icd9
221183563.0,2008-05-20 01:49:23,E879.6,4,Urinary catheterization,7573,icd9
294733906.0,1988-11-11 20:00:13,V63.2,4,Person awaiting admission to adequate facility elsewhere,3543,icd9
,1999-01-05 11:07:14,620.5,4,"Torsion of ovary, ovarian pedicle, or fallopian tube",5253,icd9
233752716.0,1975-01-01 17:12:11,569.1,4,Rectal prolapse,2972,icd9
325310928.0,1992-05-14 05:28:41,200,3,Lymphosarcoma and reticulosarcoma and other specified malignant tumors of lymphatic tissue,3894,icd9
333494857.0,1993-11-07 03:37:13,315,3,Specific delays in development,3543,icd9
229867442.0,2020-01-27 05:11:26,E816,3,"Motor vehicle traffic accident due to loss of control, without collision on the highway",7485,icd9
387836749.0,2002-11-10 21:10:47,631,3,Other abnormal product of conception,1211,icd9
242467534.0,2001-08-10 15:45:34,527.9,4,Unspecified disease of the salivary glands,7364,icd9
261224382.0,1979-07-10 16:56:52,238.3,4,Breast,6238,icd9
288857530.0,1977-08-27 17:36:21,V81.2,4,Other and unspecified cardiovascular conditions,1211,icd9
201992376.0,1971-01-02 22:27:02,788.1,4,Dysuria,1323,icd9
,1994-06-28 22:52:36,V81.5,4,Nephropathy,7116,icd9
349163411.0,2010-12-08 15:21:21,E943.2,4,Emollient cathartics,9186,icd9
357557475.0,2011-06-15 22:16:07,322,3,Meningitis of unspecified cause,9623,icd9
254595634.0,1988-05-22 08:28:11,136.4,4,Psorospermiasis,5893,icd9
202291648.0,1972-09-02 23:34:54,201,3,Hodgkin's disease,1323,icd9
313170109.0,1972-02-01 09:23:26,694.5,4,Pemphigoid,2962,icd9
228404247.0,1978-03-31 23:35:02,E951.1,4,Liquefied petroleum gas distributed in mobile containers,5893,icd9
387749204.0,1992-08-25 07:12:04,335.0,4,Werdnig-Hoffmann disease,7364,icd9
,2005-03-12 06:38:46,902.24,5,Other specified branches of celiac axis,2533,icd9
332662023.0,2006-11-14 22:10:07,E881.0,4,Fall from ladder,3643,icd9
208553977.0,1975-01-02 05:49:40,187.7,4,Scrotum,8625,icd9
200690451.0,1973-05-11 16:22:15,V70.0,4,Routine general medical examination at a health care facility,4224,icd9
217050460.0,1990-06-02 00:09:27,770.83,5,Cyanotic attacks of newborn,9657,icd9
210170632.0,2016-08-19 18:04:12,842.01,5,Carpal (joint),6238,icd9
,1986-09-19 16:12:23,233,3,Carcinoma in situ of breast and genitourinary system,1822,icd9
205947244.0,2000-11-06 03:50:37,560.81,5,Intestinal or peritoneal adhesions with obstruction (postoperative) (postinfection),8724,icd9
357531506.0,2016-11-01 01:54:34,441.9,4,Aortic aneurysm of unspecified site without mention of rupture,3611,icd9
,2003-02-20 19:17:33,237.9,4,Other and unspecified parts of nervous system,7573,icd9
,2020-08-31 02:37:33,525.62,5,Unrepairable overhanging of dental restorative materials,5196,icd9
217920816.0,2016-04-07 08:52:32,032.2,4,Anterior nasal diphtheria,1211,icd9
365758556.0,2015-09-26 00:08:31,339.85,5,Primary stabbing headache,1822,icd9
360260892.0,1977-02-03 20:16:01,E942.1,4,Cardiotonic glycosides and drugs of similar action,8724,icd9
276320366.0,2012-10-16 04:29:13,E928.5,4,External constriction caused by other object,4303,icd9
266657085.0,1980-05-21 17:15:30,255.13,5,Bartter's syndrome,2962,icd9
336177770.0,1979-08-25 18:26:55,729.71,5,Nontraumatic compartment syndrome of upper extremity,7107,icd9
329152998.0,2019-05-29 00:36:18,727.67,5,Achilles tendon,3075,icd9
,2017-09-11 18:35:06,521.06,5,Dental caries pit and fissure,9657,icd9
389040720.0,2001-06-29 20:33:27,130.7,4,Toxoplasmosis of other specified sites,7116,icd9
244842500.0,2000-05-03 15:04:04,008.02,5,Enterotoxigenic E. coli,9420,icd9
,1996-11-08 19:41:04,736.6,4,Other acquired deformities of knee,2047,icd9
325878013.0,2005-08-06 22:14:42,371.10,5,"Corneal deposit, unspecified",5893,icd9
225916746.0,2014-12-20 03:03:02,E929.1,4,Late effects of other transport accident,2344,icd9
379277380.0,2005-05-07 01:46:48,992.0,4,Heat stroke and sunstroke,3146,icd9
365596980.0,1990-03-22 18:18:20,374.00,5,"Entropion, unspecified",7364,icd9
332851913.0,1996-05-03 22:42:16,695.1,4,Erythema multiforme,7107,icd9
248052459.0,2005-12-23 03:13:58,E927,3,Overexertion and strenuous and repetitive movements or loads,1323,icd9
351248810.0,2019-02-27 10:29:09,E891.2,4,Other smoke and fumes from conflagration,7882,icd9
282942137.0,2019-06-15 23:13:31,614-616,2,INFLAMMATORY DISEASE OF FEMALE PELVIC ORGANS ,4224,icd9
282680112.0,2020-04-02 19:45:17,366.18,5,Hypermature cataract,2533,icd9
,1996-05-24 12:47:03,995.20,5,"Unspecified adverse effect of unspecified drug, medicinal and biological substance",8724,icd9
368001921.0,1990-06-29 06:39:49,874.1,4,"Larynx and trachea, complicated",5253,icd9
324836692.0,1999-10-22 08:35:51,854,3,Intracranial injury of other and unspecified nature,1977,icd9
,1976-03-04 17:11:17,252.0,4,Hyperparathyroidism,1211,icd9
287482609.0,2008-11-22 00:13:08,564.01,5,Slow transit constipation,2912,icd9
347267306.0,1983-06-15 15:13:19,524.62,5,Arthralgia of temporomandibular joint,9657,icd9
220189779.0,1988-07-27 12:14:20,967.1,4,Chloral hydrate group,2047,icd9
239467131.0,1980-05-03 23:17:52,150.1,4,Thoracic esophagus,1500,icd9
,1988-07-17 11:53:38,V54.29,5,Aftercare for healing pathologic fracture of other bone,7882,icd9
244780008.0,1993-10-02 07:17:30,629.20,5,"Female genital mutilation status, unspecified",2912,icd9
215192081.0,1995-10-31 23:09:41,236.1,4,Placenta,9186,icd9
244946349.0,1984-09-29 23:31:49,E879.9,4,Unspecified procedure,2515,icd9
