סוג קוד,תיאור הבחנה,קוד הבחנה,תאריך ביקור,תעודת זהות
380243932,1974-04-23 11:52:16,S62184G,"Nondisplaced fracture of trapezoid [smaller multangular], right wrist, subsequent encounter for fracture with delayed healing",icd10
223525218,1974-05-05 18:31:18,T44993S,"Poisoning by other drug primarily affecting the autonomic nervous system, assault, sequela",icd10
218868921,1997-03-22 22:09:34,S72041Q,"Displaced fracture of base of neck of right femur, subsequent encounter for open fracture type I or II with malunion",icd10
238072335,2007-03-30 00:40:56,O161,"Unspecified maternal hypertension, first trimester",icd10
266655194,1977-04-18 23:09:35,S82132Q,"Displaced fracture of medial condyle of left tibia, subsequent encounter for open fracture type I or II with malunion",icd10
378023718,1996-04-14 07:43:02,S93123A,"Dislocation of metatarsophalangeal joint of unspecified great toe, initial encounter",icd10
355324075,2019-09-07 05:56:43,I219,"Acute myocardial infarction, unspecified",icd10
283809015,2008-11-24 13:49:29,H7582,Other specified disorders of left middle ear and mastoid in diseases classified elsewhere,icd10
249062075,1978-04-06 16:09:30,M4655,"Other infective spondylopathies, thoracolumbar region",icd10
254609015,1997-05-05 12:01:14,S99822D,"Other specified injuries of left foot, subsequent encounter",icd10
293921980,2019-04-21 17:30:39,V342XXA,"Person on outside of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident, initial encounter",icd10
373102153,1993-11-09 04:26:34,S72415R,"Nondisplaced unspecified condyle fracture of lower end of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",icd10
382218185,1975-02-24 12:47:05,F442,Dissociative stupor,icd10
240123962,2003-01-15 05:10:49,S01132A,"Puncture wound without foreign body of left eyelid and periocular area, initial encounter",icd10
228567514,2006-03-13 03:49:26,S92323P,"Displaced fracture of second metatarsal bone, unspecified foot, subsequent encounter for fracture with malunion",icd10
335177734,1982-05-22 00:29:38,K034,Hypercementosis,icd10
322424362,1993-03-19 03:16:42,S52136G,"Nondisplaced fracture of neck of unspecified radius, subsequent encounter for closed fracture with delayed healing",icd10
374351112,1981-08-28 15:09:48,S92246G,"Nondisplaced fracture of medial cuneiform of unspecified foot, subsequent encounter for fracture with delayed healing",icd10
211482975,1976-10-22 20:35:11,S82255G,"Nondisplaced comminuted fracture of shaft of left tibia, subsequent encounter for closed fracture with delayed healing",icd10
341783802,2013-03-23 00:15:22,O29099,"Other pulmonary complications of anesthesia during pregnancy, unspecified trimester",icd10
383909311,1995-04-28 21:48:21,S92352G,"Displaced fracture of fifth metatarsal bone, left foot, subsequent encounter for fracture with delayed healing",icd10
258705061,1971-03-27 11:06:54,T401X3S,"Poisoning by heroin, assault, sequela",icd10
226967322,1997-02-01 20:49:37,S52131R,"Displaced fracture of neck of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",icd10
270440521,2015-05-18 13:56:08,M84479D,"Pathological fracture, unspecified toe(s), subsequent encounter for fracture with routine healing",icd10
263177770,2019-03-03 18:50:33,X80XXXD,"Intentional self-harm by jumping from a high place, subsequent encounter",icd10
323711351,2001-01-22 02:20:34,L601,Onycholysis,icd10
385012326,1971-11-19 06:05:48,R561,Post traumatic seizures,icd10
239765450,2001-05-22 00:21:13,S82102A,"Unspecified fracture of upper end of left tibia, initial encounter for closed fracture",icd10
259776700,2006-10-29 02:29:13,M1A0211,"Idiopathic chronic gout, right elbow, with tophus (tophi)",icd10
295042529,2002-01-30 18:30:49,M1652,"Unilateral post-traumatic osteoarthritis, left hip",icd10
369969528,1972-12-06 05:25:27,V411XXS,"Car passenger injured in collision with pedal cycle in nontraffic accident, sequela",icd10
364621765,2002-03-06 21:49:39,C4031,Malignant neoplasm of short bones of right lower limb,icd10
235533253,1974-04-19 09:27:58,S31645S,"Puncture wound with foreign body of abdominal wall, periumbilic region with penetration into peritoneal cavity, sequela",icd10
251641836,1989-10-07 05:41:18,Q7193,"Unspecified reduction defect of upper limb, bilateral",icd10
282511228,1988-08-06 21:42:16,S65291A,"Other specified injury of superficial palmar arch of right hand, initial encounter",icd10
213531665,1996-12-12 03:14:15,M4846XD,"Fatigue fracture of vertebra, lumbar region, subsequent encounter for fracture with routine healing",icd10
203736245,2002-08-01 08:03:13,S89111D,"Salter-Harris Type I physeal fracture of lower end of right tibia, subsequent encounter for fracture with routine healing",icd10
314234501,1993-03-01 05:18:00,S62212S,"Bennett's fracture, left hand, sequela",icd10
220670841,1988-05-25 04:50:47,Z52090,"Other blood donor, whole blood",icd10
206595918,1983-05-03 20:02:16,K0401,Reversible pulpitis,icd10
313039912,1987-10-02 14:23:04,W6192XA,"Struck by other birds, initial encounter",icd10
222416146,1980-08-10 04:46:21,M1A0311,"Idiopathic chronic gout, right wrist, with tophus (tophi)",icd10
271468740,1978-03-21 03:19:13,S86101A,"Unspecified injury of other muscle(s) and tendon(s) of posterior muscle group at lower leg level, right leg, initial encounter",icd10
271757605,2015-03-11 05:49:25,S82409J,"Unspecified fracture of shaft of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",icd10
368695759,1989-10-13 20:44:20,Z95828,Presence of other vascular implants and grafts,icd10
238909194,1976-12-11 16:20:31,Z791,Long term (current) use of non-steroidal anti-inflammatories (NSAID),icd10
315297839,1982-07-06 00:31:36,S23428A,"Other sprain of sternum, initial encounter",icd10
379172011,2008-12-23 04:30:26,S32001A,"Stable burst fracture of unspecified lumbar vertebra, initial encounter for closed fracture",icd10
269694504,2017-06-11 02:34:50,S04812D,"Injury of olfactory [1st ] nerve, left side, subsequent encounter",icd10
302781802,2013-07-07 23:33:55,S82151J,"Displaced fracture of right tibial tuberosity, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",icd10
200735859,2009-08-30 07:09:07,T404X2A,"Poisoning by other synthetic narcotics, intentional self-harm, initial encounter",icd10
208595532,1983-09-13 05:00:45,S96822A,"Laceration of other specified muscles and tendons at ankle and foot level, left foot, initial encounter",icd10
335248183,1973-01-15 11:25:16,I69815,Cognitive social or emotional deficit following other cerebrovascular disease,icd10
281617459,2005-03-12 13:38:00,H90A22,"Sensorineural hearing loss, unilateral, left ear, with restricted hearing on the contralateral side",icd10
223897651,1993-09-14 12:41:44,S1095XS,"Superficial foreign body of unspecified part of neck, sequela",icd10
289553185,2012-05-22 04:30:01,K55051,"Focal (segmental) acute (reversible) ischemia of intestine, part unspecified",icd10
275039888,2020-11-07 01:06:02,T3250,Corrosions involving 50-59% of body surface with 0% to 9% third degree corrosion,icd10
290421513,1985-05-06 12:56:50,Z77012,Contact with and (suspected) exposure to uranium,icd10
259079637,2015-07-24 02:13:29,S62292A,"Other fracture of first metacarpal bone, left hand, initial encounter for closed fracture",icd10
325086021,1979-04-28 08:39:48,S00229D,"Blister (nonthermal) of unspecified eyelid and periocular area, subsequent encounter",icd10
253162230,1992-02-21 00:58:06,M67361,"Transient synovitis, right knee",icd10
348172649,2017-04-30 19:58:37,V817XXS,"Occupant of railway train or railway vehicle injured in derailment without antecedent collision, sequela",icd10
278273481,1971-02-16 11:16:29,T61772A,"Other fish poisoning, intentional self-harm, initial encounter",icd10
374830313,1973-05-11 03:27:07,M9182,"Other juvenile osteochondrosis of hip and pelvis, left leg",icd10
330715214,1978-08-21 20:53:13,T22139A,"Burn of first degree of unspecified upper arm, initial encounter",icd10
387153175,1971-09-09 21:10:45,V9532XS,"Forced landing of commercial fixed-wing aircraft injuring occupant, sequela",icd10
316813164,1974-01-06 12:08:49,V744XXD,"Person boarding or alighting from bus injured in collision with heavy transport vehicle or bus, subsequent encounter",icd10
221115783,1981-11-19 13:46:23,O654,"Obstructed labor due to fetopelvic disproportion, unspecified",icd10
207430815,1994-10-17 04:13:58,S92212B,"Displaced fracture of cuboid bone of left foot, initial encounter for open fracture",icd10
257280518,2012-03-09 23:45:11,S72455Q,"Nondisplaced supracondylar fracture without intracondylar extension of lower end of left femur, subsequent encounter for open fracture type I or II with malunion",icd10
339864578,1987-02-18 22:50:37,S72022P,"Displaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for closed fracture with malunion",icd10
368198594,2005-06-29 11:53:21,M80011K,"Age-related osteoporosis with current pathological fracture, right shoulder, subsequent encounter for fracture with nonunion",icd10
241317823,1983-05-31 11:55:37,S52509F,"Unspecified fracture of the lower end of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",icd10
357946039,2019-10-26 04:15:08,S62513G,"Displaced fracture of proximal phalanx of unspecified thumb, subsequent encounter for fracture with delayed healing",icd10
224955153,1976-01-18 20:27:05,J8481,Lymphangioleiomyomatosis,icd10
377249228,1993-08-29 10:44:11,Z31440,Encounter of male for testing for genetic disease carrier status for procreative management,icd10
301745281,1990-02-05 08:25:20,S79149S,"Salter-Harris Type IV physeal fracture of lower end of unspecified femur, sequela",icd10
254125300,2003-09-03 01:18:05,W99XXXA,"Exposure to other man-made environmental factors, initial encounter",icd10
340459827,1985-06-03 07:37:47,G373,Acute transverse myelitis in demyelinating disease of central nervous system,icd10
297382868,1974-01-11 15:04:52,M86151,"Other acute osteomyelitis, right femur",icd10
295935955,2015-03-05 13:38:09,S55109S,"Unspecified injury of radial artery at forearm level, unspecified arm, sequela",icd10
260567321,2006-09-19 14:22:37,C44119,"Basal cell carcinoma of skin of left eyelid, including canthus",icd10
350215231,1977-09-25 22:13:53,E8029,Other porphyria,icd10
347116479,1979-10-15 07:10:42,T63591S,"Toxic effect of contact with other venomous fish, accidental (unintentional), sequela",icd10
275501535,1975-12-04 13:15:39,V174XXD,"Pedal cycle driver injured in collision with fixed or stationary object in traffic accident, subsequent encounter",icd10
345491925,2003-12-03 02:33:36,S43023A,"Posterior subluxation of unspecified humerus, initial encounter",icd10
284072587,2019-05-06 03:14:49,S82224C,"Nondisplaced transverse fracture of shaft of right tibia, initial encounter for open fracture type IIIA, IIIB, or IIIC",icd10
310049723,2020-07-26 06:57:13,Q030,Malformations of aqueduct of Sylvius,icd10
366883891,1980-10-12 12:32:05,S53006S,"Unspecified dislocation of unspecified radial head, sequela",icd10
244796363,2008-03-04 01:45:06,S36520S,"Contusion of ascending [right] colon, sequela",icd10
209703770,1977-06-26 00:35:39,S46199A,"Other injury of muscle, fascia and tendon of long head of biceps, unspecified arm, initial encounter",icd10
247733646,1997-06-11 18:28:09,O648XX2,"Obstructed labor due to other malposition and malpresentation, fetus 2",icd10
294324047,1986-06-28 19:46:44,H6502,"Acute serous otitis media, left ear",icd10
328593197,1996-11-04 12:45:44,S82001P,"Unspecified fracture of right patella, subsequent encounter for closed fracture with malunion",icd10
227455055,1979-10-10 23:37:44,S9032XA,"Contusion of left foot, initial encounter",icd10
212865096,1983-06-17 15:25:50,S62512B,"Displaced fracture of proximal phalanx of left thumb, initial encounter for open fracture",icd10
342190706,2007-10-27 22:28:39,G120,"Infantile spinal muscular atrophy, type I [Werdnig-Hoffman]",icd10
241524800,1993-02-28 04:35:58,V859XXS,"Unspecified occupant of special construction vehicle injured in nontraffic accident, sequela",icd10
328436541,2006-03-28 19:47:10,T496X4D,"Poisoning by otorhinolaryngological drugs and preparations, undetermined, subsequent encounter",icd10
342613296,2013-12-15 00:35:45,T23442A,"Corrosion of unspecified degree of multiple left fingers (nail), including thumb, initial encounter",icd10
387163518,1979-12-30 15:15:29,Y07420,"Foster father, perpetrator of maltreatment and neglect",icd10
370628196,2000-05-31 10:31:58,S72146S,"Nondisplaced intertrochanteric fracture of unspecified femur, sequela",icd10
246779275,2009-01-30 14:33:04,T63451D,"Toxic effect of venom of hornets, accidental (unintentional), subsequent encounter",icd10
275118127,1995-02-08 16:28:56,O333XX1,"Maternal care for disproportion due to outlet contraction of pelvis, fetus 1",icd10
303138045,1988-05-06 16:18:32,B5730,"Chagas' disease with digestive system involvement, unspecified",icd10
297009903,1975-04-15 15:10:01,T402X5S,"Adverse effect of other opioids, sequela",icd10
325507335,2010-02-14 10:19:46,S82892G,"Other fracture of left lower leg, subsequent encounter for closed fracture with delayed healing",icd10
282761393,2008-04-27 21:54:15,S52109B,"Unspecified fracture of upper end of unspecified radius, initial encounter for open fracture type I or II",icd10
279921527,2011-09-02 19:14:21,T79A29S,"Traumatic compartment syndrome of unspecified lower extremity, sequela",icd10
215068135,1996-11-07 05:07:24,N809,"Endometriosis, unspecified",icd10
275853442,1983-06-04 13:34:23,S42014S,"Posterior displaced fracture of sternal end of right clavicle, sequela",icd10
358563380,1976-10-24 08:16:46,S72091M,"Other fracture of head and neck of right femur, subsequent encounter for open fracture type I or II with nonunion",icd10
327065503,2002-09-09 22:26:08,L858,Other specified epidermal thickening,icd10
368270708,1976-07-29 14:44:46,S7224XE,"Nondisplaced subtrochanteric fracture of right femur, subsequent encounter for open fracture type I or II with routine healing",icd10
360458687,2006-07-06 16:15:56,V899XXA,"Person injured in unspecified vehicle accident, initial encounter",icd10
257459152,1988-03-22 13:24:39,S42496D,"Other nondisplaced fracture of lower end of unspecified humerus, subsequent encounter for fracture with routine healing",icd10
336730041,2007-07-06 04:45:57,S82002N,"Unspecified fracture of left patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",icd10
259620775,2004-10-30 02:39:42,S42135D,"Nondisplaced fracture of coracoid process, left shoulder, subsequent encounter for fracture with routine healing",icd10
252686428,2003-10-12 20:02:05,Y35101S,"Legal intervention involving unspecified explosives, law enforcement official injured, sequela",icd10
354657409,1991-06-03 02:11:06,M84451D,"Pathological fracture, right femur, subsequent encounter for fracture with routine healing",icd10
241273840,1991-05-31 09:38:00,V4950XD,"Passenger injured in collision with unspecified motor vehicles in traffic accident, subsequent encounter",icd10
348418654,1981-04-14 20:54:34,E559,"Vitamin D deficiency, unspecified",icd10
376392005,1997-04-22 13:34:14,S73025S,"Obturator dislocation of left hip, sequela",icd10
385303593,2009-08-16 09:14:32,S72064K,"Nondisplaced articular fracture of head of right femur, subsequent encounter for closed fracture with nonunion",icd10
321084893,1999-07-18 14:12:46,A0103,Typhoid pneumonia,icd10
378085616,2006-05-05 10:23:30,T486X4D,"Poisoning by antiasthmatics, undetermined, subsequent encounter",icd10
241296114,1998-12-26 00:02:34,I2542,Coronary artery dissection,icd10
359208832,2017-12-06 05:47:38,S53441D,"Ulnar collateral ligament sprain of right elbow, subsequent encounter",icd10
266390256,1990-11-22 20:12:02,F4310,"Post-traumatic stress disorder, unspecified",icd10
348069996,2007-01-21 00:17:53,R7303,Prediabetes,icd10
376387283,1983-04-13 04:48:57,H4042X4,"Glaucoma secondary to eye inflammation, left eye, indeterminate stage",icd10
389876488,2016-03-09 15:34:45,S52002S,"Unspecified fracture of upper end of left ulna, sequela",icd10
240336480,1980-05-09 04:34:08,T506X1D,"Poisoning by antidotes and chelating agents, accidental (unintentional), subsequent encounter",icd10
338621041,2016-03-20 19:15:01,S52389K,"Bent bone of unspecified radius, subsequent encounter for closed fracture with nonunion",icd10
275163892,1971-08-14 11:38:56,S59911S,"Unspecified injury of right forearm, sequela",icd10
306394213,2009-11-15 12:14:42,T23629S,"Corrosion of second degree of unspecified single finger (nail) except thumb, sequela",icd10
250860436,1988-02-12 08:23:46,S52044R,"Nondisplaced fracture of coronoid process of right ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",icd10
352260223,1978-08-09 19:17:01,T3793XA,"Poisoning by unspecified systemic anti-infective and antiparasitics, assault, initial encounter",icd10
358004727,2012-12-16 12:34:55,T3270,Corrosions involving 70-79% of body surface with 0% to 9% third degree corrosion,icd10
266352030,2009-10-31 00:23:32,S12531G,"Unspecified traumatic nondisplaced spondylolisthesis of sixth cervical vertebra, subsequent encounter for fracture with delayed healing",icd10
338650236,1975-07-04 18:51:30,S61309S,"Unspecified open wound of unspecified finger with damage to nail, sequela",icd10
366002410,2000-09-21 04:21:26,S52262R,"Displaced segmental fracture of shaft of ulna, left arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",icd10
343447178,1990-09-11 12:19:10,T39014A,"Poisoning by aspirin, undetermined, initial encounter",icd10
250750362,1998-07-06 11:38:54,S62171S,"Displaced fracture of trapezium [larger multangular], right wrist, sequela",icd10
264587507,1982-04-15 11:03:57,S52202G,"Unspecified fracture of shaft of left ulna, subsequent encounter for closed fracture with delayed healing",icd10
338818594,2000-07-17 07:51:08,S90519A,"Abrasion, unspecified ankle, initial encounter",icd10
328177657,1972-03-30 18:03:08,S32501B,"Unspecified fracture of right pubis, initial encounter for open fracture",icd10
284168920,2010-07-29 10:03:06,O2690,"Pregnancy related conditions, unspecified, unspecified trimester",icd10
230784821,1996-07-05 10:47:56,V780XXA,"Driver of bus injured in noncollision transport accident in nontraffic accident, initial encounter",icd10
313896819,2020-01-29 20:03:35,S93146S,"Subluxation of metatarsophalangeal joint of unspecified lesser toe(s), sequela",icd10
350772219,2006-06-27 12:55:32,T63083D,"Toxic effect of venom of other African and Asian snake, assault, subsequent encounter",icd10
389826097,1984-02-28 20:09:31,M10379,"Gout due to renal impairment, unspecified ankle and foot",icd10
314187397,2013-11-16 02:25:23,T3141,Burns involving 40-49% of body surface with 10-19% third degree burns,icd10
213299573,2008-03-20 07:47:41,T63833D,"Toxic effect of contact with other venomous amphibian, assault, subsequent encounter",icd10
335519675,1989-04-19 15:11:35,P559,"Hemolytic disease of newborn, unspecified",icd10
231675132,2020-01-08 00:19:09,S89131D,"Salter-Harris Type III physeal fracture of lower end of right tibia, subsequent encounter for fracture with routine healing",icd10
231976964,2006-10-24 20:50:21,G939,"Disorder of brain, unspecified",icd10
213826445,2006-07-06 09:29:43,S36538S,"Laceration of other part of colon, sequela",icd10
387927109,2013-11-23 05:43:09,R29714,NIHSS score 14,icd10
291481277,1975-06-23 16:58:50,T63322D,"Toxic effect of venom of tarantula, intentional self-harm, subsequent encounter",icd10
364946911,2003-07-31 09:52:18,S7292XM,"Unspecified fracture of left femur, subsequent encounter for open fracture type I or II with nonunion",icd10
228118014,2017-07-27 03:24:00,S99239K,"Salter-Harris Type III physeal fracture of phalanx of unspecified toe, subsequent encounter for fracture with nonunion",icd10
379166343,1996-08-22 00:26:17,W629XXA,"Contact with other nonvenomous amphibians, initial encounter",icd10
389787101,2014-05-04 11:45:02,N3091,"Cystitis, unspecified with hematuria",icd10
335976611,2016-03-09 01:51:58,T63031S,"Toxic effect of taipan venom, accidental (unintentional), sequela",icd10
335460976,1985-06-27 10:20:31,Y37250A,"Military operations involving fragments from munitions, military personnel, initial encounter",icd10
298149051,2001-02-05 02:11:19,S72471S,"Torus fracture of lower end of right femur, sequela",icd10
319089511,2010-04-16 07:55:06,D131,Benign neoplasm of stomach,icd10
215364445,1996-12-11 00:05:48,S72441D,"Displaced fracture of lower epiphysis (separation) of right femur, subsequent encounter for closed fracture with routine healing",icd10
273189630,1972-10-12 17:23:42,S89101S,"Unspecified physeal fracture of lower end of right tibia, sequela",icd10
290917863,1973-10-05 19:11:09,T498X6S,"Underdosing of other topical agents, sequela",icd10
348622833,2020-09-06 15:04:00,S92811K,"Other fracture of right foot, subsequent encounter for fracture with nonunion",icd10
294085434,2002-09-21 10:47:48,S99121D,"Salter-Harris Type II physeal fracture of right metatarsal, subsequent encounter for fracture with routine healing",icd10
276094005,2015-04-22 13:37:53,T474X3A,"Poisoning by other laxatives, assault, initial encounter",icd10
242411050,2003-01-15 00:06:07,S92145B,"Nondisplaced dome fracture of left talus, initial encounter for open fracture",icd10
228699653,2000-06-10 04:36:37,T45524A,"Poisoning by antithrombotic drugs, undetermined, initial encounter",icd10
383675596,1972-10-02 13:26:17,S62393D,"Other fracture of third metacarpal bone, left hand, subsequent encounter for fracture with routine healing",icd10
226933828,1991-07-01 02:24:17,S30861A,"Insect bite (nonvenomous) of abdominal wall, initial encounter",icd10
324127801,1992-06-19 23:37:11,M89269,"Other disorders of bone development and growth, unspecified lower leg",icd10
278988097,1983-10-21 23:06:48,H30021,"Focal chorioretinal inflammation of posterior pole, right eye",icd10
254258773,1986-07-09 13:53:55,S28222A,"Partial traumatic amputation of left breast, initial encounter",icd10
359209834,1978-09-12 09:58:43,T83198S,"Other mechanical complication of other urinary devices and implants, sequela",icd10
386247477,1999-08-13 22:09:51,V586XXA,"Passenger in pick-up truck or van injured in noncollision transport accident in traffic accident, initial encounter",icd10
261523638,2009-10-12 20:11:21,T594X2S,"Toxic effect of chlorine gas, intentional self-harm, sequela",icd10
221488372,2003-12-26 05:59:50,S66320S,"Laceration of extensor muscle, fascia and tendon of right index finger at wrist and hand level, sequela",icd10
345908328,1997-12-10 11:34:59,M84341P,"Stress fracture, right hand, subsequent encounter for fracture with malunion",icd10
232454666,1980-10-30 16:03:05,S62172B,"Displaced fracture of trapezium [larger multangular], left wrist, initial encounter for open fracture",icd10
217827677,2008-01-17 21:21:26,T23632A,"Corrosion of second degree of multiple left fingers (nail), not including thumb, initial encounter",icd10
258994543,1987-06-02 01:11:13,S63682S,"Other sprain of left thumb, sequela",icd10
311883392,1991-12-26 01:37:32,M84342S,"Stress fracture, left hand, sequela",icd10
